date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:21	13139/13139	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:20%20GMT	https://www.researchcatalogue.net/view/393791/588232	h/hue%20blanes/www.researchcatalogue.net/view/393791/588232.html	(from )
11:37:22	2111/2111	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:21%20GMT	https://www.researchcatalogue.net/robots.txt		(from )
11:37:23	10876/10876	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:22%20GMT	https://www.researchcatalogue.net/view/393791/574433	h/hue%20blanes/www.researchcatalogue.net/view/393791/574433.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:24	17484/17484	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:23%20GMT	https://www.researchcatalogue.net/view/393791/574458	h/hue%20blanes/www.researchcatalogue.net/view/393791/574458.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:25	16357/16357	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:24%20GMT	https://www.researchcatalogue.net/view/393791/574459	h/hue%20blanes/www.researchcatalogue.net/view/393791/574459.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:26	17612/17612	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:25%20GMT	https://www.researchcatalogue.net/view/393791/574460	h/hue%20blanes/www.researchcatalogue.net/view/393791/574460.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:27	28903/28903	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:26%20GMT	https://www.researchcatalogue.net/view/393791/574461	h/hue%20blanes/www.researchcatalogue.net/view/393791/574461.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:28	30926/30926	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:27%20GMT	https://www.researchcatalogue.net/view/393791/574462	h/hue%20blanes/www.researchcatalogue.net/view/393791/574462.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:29	17630/17630	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:28%20GMT	https://www.researchcatalogue.net/view/393791/574464	h/hue%20blanes/www.researchcatalogue.net/view/393791/574464.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:37:30	14131/14131	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:37:29%20GMT	https://www.researchcatalogue.net/view/393791/574465	h/hue%20blanes/www.researchcatalogue.net/view/393791/574465.html	(from https://www.researchcatalogue.net/view/393791/588232)
